timestamp,id_i,x_i,y_i,vx_i,vy_i,hx_i,hy_i,length_i,width_i,velocity_i_kmh,conf_i,class_i,id_j,x_j,y_j,vx_j,vy_j,hx_j,hy_j,length_j,width_j,velocity_j_kmh,conf_j,class_j,TTC_ij,TTC_ji,severity_ij,severity_ji
9.076,26.0,16.821182,31.595934,4.3136277,2.909021,0.2163155,0.14587867,3.328384,1.6647418,17.270712,0.91382843,car,31.0,15.712438,36.32419,3.5111146,0.22324285,0.17607187,0.011194959,4.0842276,2.0604568,12.616259,0.81243026,car,1.4762276,1.0048419,24.931845,25.618727
9.126,26.0,16.825905,31.305176,4.244053,2.843365,0.21282654,0.14258622,3.2729008,1.6464039,16.711119,0.90736866,car,31.0,15.77109,36.310177,3.610324,0.22274762,0.1810469,0.011170125,4.079798,2.056549,12.964923,0.8442674,car,1.6093779,1.0990771,24.633688,25.448832
9.177,26.0,16.933252,31.159174,4.2029896,2.7750854,0.21076731,0.13916221,3.2357113,1.6345311,16.320738,0.87861204,car,31.0,15.809316,36.280872,3.7089102,0.23337406,0.18599072,0.011703009,4.0708523,2.0507166,13.314407,0.84718466,car,1.6972543,1.1758859,24.43582,25.313948
9.227,26.0,17.067364,31.10359,4.1936536,2.7093596,0.21029913,0.13586627,3.2183836,1.6306427,16.12591,0.8738592,car,31.0,15.898216,36.20784,4.0013027,0.18023396,0.20065333,0.009038192,4.056556,2.0420983,14.33588,0.84043837,car,1.6831968,1.090054,24.453054,25.541477
9.277,23.0,32.750343,55.022022,1.7027317,-0.45760348,0.08538689,-0.022947442,4.2385836,2.7623851,6.5027685,0.78291494,van,26.0,17.213154,31.197151,4.2161613,2.7016497,0.21142785,0.13547961,3.229541,1.6322694,16.272589,0.8876262,car,6.4715905,6.458037,14.346153,14.896779
9.277,26.0,17.213154,31.197151,4.2161613,2.7016497,0.21142785,0.13547961,3.229541,1.6322694,16.272589,0.8876262,car,31.0,16.010666,36.142555,4.221504,0.21666636,0.21169578,0.010865168,4.0458145,2.0351734,15.111512,0.834923,car,1.6416227,1.0071088,24.544504,25.750227
9.327,23.0,32.867405,55.044483,1.7302825,-0.49614382,0.08676848,-0.024880124,4.141032,2.7927892,6.645329,0.78291494,van,26.0,17.370731,31.315817,4.241337,2.6945076,0.21269032,0.13512146,3.2491286,1.6363084,16.437117,0.89882,car,6.3985033,6.364737,14.499919,15.09306
9.327,26.0,17.370731,31.315817,4.241337,2.6945076,0.21269032,0.13512146,3.2491286,1.6363084,16.437117,0.89882,car,31.0,16.122602,36.03971,4.405075,0.260072,0.22090131,0.01304183,4.0290823,2.0251865,15.73592,0.7226228,car,0.931448,0.96339464,25.97548,25.872366
9.377,26.0,17.421843,31.276247,4.2453837,2.6715007,0.21289326,0.13396774,3.2668824,1.6363212,16.270666,0.8920703,car,31.0,16.2551,35.921978,4.60068,0.31583625,0.2307103,0.015838241,4.0115523,2.0145805,16.393995,0.6793927,car,0.932217,1.1985846,25.964617,25.438286
9.427,26.0,17.49576,31.24823,4.234412,2.6474562,0.21234307,0.13276199,3.2602177,1.6309248,16.061636,0.88121897,car,31.0,16.383701,35.75834,4.7442985,0.3522641,0.23791234,0.017664988,4.2887287,2.1181898,16.84004,0.6317467,car,0.8767823,inf,26.063906,
9.477,26.0,17.64207,31.340984,4.229721,2.6330233,0.2121078,0.13203822,3.2444537,1.6377711,16.02137,0.82096267,car,31.0,16.492046,35.61214,4.897583,0.41237047,0.24559909,0.020679142,4.443203,2.1866913,17.334105,0.8121193,car,0.7895836,inf,26.236216,
9.528,26.0,17.699608,31.282501,4.193798,2.5967724,0.21030638,0.13022034,3.2312877,1.6293744,15.631042,0.75521183,car,31.0,16.597935,35.430195,5.074389,0.53986204,0.25446537,0.02707246,4.458951,2.1974552,17.927532,0.77819264,car,0.79851514,2.3722649,26.196606,23.175222
9.578,26.0,17.759142,31.264364,4.160214,2.55894,0.20862223,0.12832315,3.210814,1.6322,15.306203,0.8191314,car,31.0,16.71823,35.249367,5.250119,0.65650344,0.26327774,0.03292168,4.4535103,2.1944544,18.534405,0.6614064,car,0.7802353,1.3904684,26.215183,25.175537
10.531,24.0,28.936064,47.908775,-1.7897277,-1.0995629,-0.08974947,-0.055139776,4.473846,1.9747568,7.621979,0.7607218,car,29.0,19.400425,45.32592,-1.0458554,-1.2525707,-0.052446507,-0.06281266,3.9376266,2.1169941,5.8602753,0.58470964,car,10.2709055,10.313589,6.782982,6.607182
10.581,24.0,28.785496,47.726913,-1.7219336,-1.1037544,-0.08634981,-0.055349972,4.447398,1.9771813,7.410744,0.76056916,car,29.0,19.400425,45.32592,-1.0458554,-1.2525707,-0.052446507,-0.06281266,3.9315317,2.1138592,5.8602753,0.618303,car,10.88874,11.077805,5.532333,5.07356
10.831,24.0,28.498814,47.452133,-1.5708269,-1.0617726,-0.078772254,-0.05324471,4.3872766,1.9839009,6.8548117,0.52158344,car,29.0,19.23184,45.30639,-1.0378275,-1.1690596,-0.052043933,-0.058624834,3.910036,2.110765,5.615477,0.39697254,car,12.538765,13.2451,2.1919541,0.7105252
10.882,24.0,28.219944,47.28105,-1.5414786,-1.0652125,-0.077300526,-0.05341721,4.3729677,1.9802332,6.7683053,0.46308568,car,29.0,19.173584,45.299397,-1.0267309,-1.1425074,-0.051487472,-0.05729332,3.9066997,2.111451,5.518537,0.39697254,car,11.20414,12.455094,4.866327,2.2916894
10.932,24.0,27.949799,47.126347,-1.4995271,-1.0849371,-0.07519679,-0.054406337,4.357301,1.9749461,6.680123,0.5526109,car,29.0,19.11498,45.292072,-1.0155861,-1.115849,-0.0509286,-0.055956483,3.903324,2.112125,5.4215975,0.39697254,car,11.295197,10.503567,4.679061,6.2037883
10.982,24.0,27.666899,46.987858,-1.4384766,-1.089162,-0.072135285,-0.054618202,4.342008,1.9697078,6.50474,0.54677033,car,29.0,19.05603,45.28441,-1.0043933,-1.0890844,-0.05036731,-0.054614317,3.8999093,2.1127872,5.3246574,0.39697254,car,10.794685,10.448037,5.674544,6.3103395
11.032,24.0,27.40556,46.81511,-1.3571252,-1.0744381,-0.06805576,-0.053879846,4.3278637,1.9639502,6.232038,0.6121195,car,29.0,18.996733,45.27641,-0.99315226,-1.0622137,-0.049803607,-0.053266827,3.8964553,2.1134374,5.2277174,0.39697254,car,11.358329,11.265258,4.529457,4.6653657
11.082,24.0,27.130144,46.629475,-1.2874842,-1.039826,-0.06456347,-0.052144155,4.310889,1.9581537,5.9577384,0.44300827,car,29.0,18.937086,45.268074,-0.9818631,-1.0352366,-0.04923749,-0.05191401,3.8929622,2.1140757,5.1307774,0.39697254,car,12.5074835,12.486348,2.2088237,2.2093475
11.534,23.0,32.375343,51.024895,-1.269306,-1.1367197,-0.06365188,-0.057003085,4.7869587,2.1054242,6.2321568,0.69419396,van,24.0,25.258448,45.426743,-1.0064607,-0.8535865,-0.050470985,-0.042804804,4.2124124,1.9255235,4.744456,0.39087743,car,11.787147,11.862492,3.6687791,3.4423
11.584,23.0,32.221565,50.871593,-1.4313409,-1.1588819,-0.07177745,-0.05811445,4.778389,2.1022708,6.737637,0.70678014,van,24.0,25.258448,45.426743,-1.0064607,-0.8535865,-0.05047098,-0.042804804,4.2095566,1.9268272,4.744456,0.45219857,car,9.153145,8.275575,8.98007,10.639998
11.634,23.0,32.036514,50.61957,-1.5531137,-1.1530671,-0.077883996,-0.057822857,4.7685485,2.0994344,7.077017,0.63347805,van,24.0,25.37606,45.489258,-0.9893626,-0.845643,-0.04961357,-0.04240646,4.2134438,1.9300672,4.678443,0.57208765,car,6.1103044,6.2683697,15.099683,14.662246
11.684,23.0,32.004524,50.5789,-1.568552,-1.1549367,-0.07865818,-0.057916608,4.760696,2.0966964,7.1263313,0.51829594,van,24.0,25.319735,45.41702,-0.95699626,-0.81314474,-0.04799049,-0.04077677,4.2117934,1.9316279,4.514845,0.50810456,car,5.6494055,5.797058,16.026178,15.599158
11.734,23.0,31.948265,50.503143,-1.5767395,-1.1419806,-0.07906876,-0.057266906,4.7480474,2.0908139,7.122001,0.6174865,van,24.0,25.264435,45.330658,-0.9302043,-0.7983769,-0.046646953,-0.04003621,4.210792,1.9321601,4.4077888,0.5201493,car,5.435668,5.59114,16.454416,16.00673
11.784,23.0,31.897446,50.53121,-1.5934743,-1.1192728,-0.079907954,-0.056128174,4.7409544,2.0870917,7.127667,0.6561642,van,24.0,25.181364,45.278343,-0.9190802,-0.79157066,-0.046089113,-0.039694894,4.2088947,1.9312894,4.36231,0.5805801,car,5.4502716,5.6003623,16.42543,15.985996
11.784,27.0,47.635742,57.113495,1.7410126,0.19759421,0.08730656,0.009908756,3.9821591,1.9507703,6.382512,0.74920046,car,31.0,36.993073,48.516994,5.8751125,2.5456634,0.29461926,0.12765738,3.7141943,1.954519,21.102985,0.59116834,car,2.7388656,2.6192446,21.82158,22.865095
11.834,23.0,31.851976,50.52614,-1.6108197,-1.0952663,-0.08077777,-0.054924324,4.730975,2.0820105,7.1312003,0.59740263,van,24.0,25.140293,45.230133,-0.91374046,-0.7749921,-0.045821343,-0.03886353,4.2081494,1.9309477,4.3096056,0.37056255,car,5.3839192,5.5156646,16.558619,16.15321
